service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1763_1000000025854","1","1","1","1","1","0","0","20260122","20260605"
"1763_1000000025886","0","0","0","0","0","1","0","20260122","20260606"
"1763_1000000026048","1","1","1","1","1","0","0","20260122","20260605"
"1763_1000000026053","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026135","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026136","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026137","0","0","0","0","0","1","1","20260122","20260606"
"1763_1000000026138","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026139","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026140","0","0","0","0","0","1","0","20260122","20260328"
"1763_1000000026149","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026150","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026151","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026152","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026153","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026154","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026155","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026156","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026157","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026158","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026159","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026160","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026161","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026162","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026163","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026164","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026180","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026228","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026229","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026231","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026232","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026234","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026235","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026236","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026237","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026238","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026241","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026243","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026244","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026245","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026246","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026247","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026248","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026249","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026250","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026251","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026252","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026253","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026254","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026256","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026257","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026258","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026259","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026260","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026261","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026262","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026263","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026264","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026265","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026266","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026267","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026268","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026269","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026270","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026271","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026272","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026273","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026274","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026275","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026276","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026277","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026278","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026279","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026280","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026281","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026282","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026283","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026285","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026286","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026287","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026289","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026290","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026291","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026292","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026293","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026294","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026295","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026296","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026297","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026298","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026299","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026300","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026301","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026302","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026303","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026304","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026305","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026306","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026307","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026308","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026309","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026310","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026311","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026312","0","0","0","0","0","0","0","20260122","20260606"
"1763_1000000026313","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026314","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026315","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026316","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026317","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026318","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026319","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026321","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026322","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026323","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026324","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026325","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026326","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026327","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026328","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026329","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026331","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026332","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026333","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026334","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026335","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026336","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026337","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026338","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026339","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026340","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026342","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026343","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026344","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026345","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026346","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026347","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026348","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026349","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026350","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026351","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026353","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026354","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026355","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026356","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026357","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026358","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026359","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026361","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026362","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026364","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026365","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026366","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026367","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026368","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026369","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026371","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026372","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026373","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026374","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026376","1","1","1","1","1","0","0","20260122","20260606"
"1763_1000000026419","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026420","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026421","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026422","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026423","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026424","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026425","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026426","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026427","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026428","1","1","1","1","1","1","0","20260122","20260606"
"1763_1000000026429","1","1","1","1","1","1","0","20260122","20260606"
