service_id,date,exception_type
"1763_1000000025854","20260402","2"
"1763_1000000025854","20260403","2"
"1763_1000000025854","20260406","2"
"1763_1000000025854","20260407","2"
"1763_1000000025854","20260501","2"
"1763_1000000025854","20260602","2"
"1763_1000000025886","20260404","2"
"1763_1000000025886","20260425","2"
"1763_1000000026048","20260402","2"
"1763_1000000026048","20260403","2"
"1763_1000000026048","20260406","2"
"1763_1000000026048","20260407","2"
"1763_1000000026048","20260501","2"
"1763_1000000026048","20260602","2"
"1763_1000000026053","20260402","2"
"1763_1000000026053","20260403","2"
"1763_1000000026053","20260406","2"
"1763_1000000026053","20260407","2"
"1763_1000000026053","20260501","2"
"1763_1000000026053","20260602","2"
"1763_1000000026135","20260406","2"
"1763_1000000026135","20260501","2"
"1763_1000000026135","20260602","2"
"1763_1000000026136","20260406","2"
"1763_1000000026136","20260501","2"
"1763_1000000026136","20260602","2"
"1763_1000000026137","20260406","1"
"1763_1000000026137","20260501","1"
"1763_1000000026137","20260602","1"
"1763_1000000026138","20260125","1"
"1763_1000000026138","20260201","1"
"1763_1000000026138","20260208","1"
"1763_1000000026138","20260215","1"
"1763_1000000026138","20260222","1"
"1763_1000000026138","20260301","1"
"1763_1000000026138","20260308","1"
"1763_1000000026138","20260315","1"
"1763_1000000026138","20260322","1"
"1763_1000000026138","20260329","1"
"1763_1000000026139","20260122","1"
"1763_1000000026139","20260123","1"
"1763_1000000026139","20260126","1"
"1763_1000000026139","20260127","1"
"1763_1000000026139","20260128","1"
"1763_1000000026139","20260129","1"
"1763_1000000026139","20260130","1"
"1763_1000000026139","20260202","1"
"1763_1000000026139","20260203","1"
"1763_1000000026139","20260204","1"
"1763_1000000026139","20260205","1"
"1763_1000000026139","20260206","1"
"1763_1000000026139","20260209","1"
"1763_1000000026139","20260210","1"
"1763_1000000026139","20260211","1"
"1763_1000000026139","20260212","1"
"1763_1000000026139","20260213","1"
"1763_1000000026139","20260216","1"
"1763_1000000026139","20260217","1"
"1763_1000000026139","20260218","1"
"1763_1000000026139","20260219","1"
"1763_1000000026139","20260220","1"
"1763_1000000026139","20260223","1"
"1763_1000000026139","20260224","1"
"1763_1000000026139","20260225","1"
"1763_1000000026139","20260226","1"
"1763_1000000026139","20260227","1"
"1763_1000000026139","20260302","1"
"1763_1000000026139","20260303","1"
