note_id,trip_ids,stop_ids,stop_sequences
"101-lm_T","1763_10651177","",""
"101-lm_T","1763_10651179","",""
"101-lm_T","1763_9881004","",""
"101-lm_T","1763_9881010","",""
"101-lm_T","1763_9881011","",""
"101-lm_T","1763_9881013","",""
"101-lm_T","1763_9881014","",""
"101-lm_T","1763_9881020","",""
"101-lm_T","1763_9881021","",""
"101-lm_T","1763_9881022","",""
"101-lm_T","1763_9881025","",""
"101-lm_T","1763_9881027","",""
"101-lm_T","1763_9882706","",""
"101-lm_T","1763_9882708","",""
"101-lm_T","1763_9882709","",""
"101-lm_T","1763_9882711","",""
"101-lm_T","1763_9882715","",""
"101-lm_T","1763_9882720","",""
"101-lm_T","1763_9882723","",""
"101-lm_T","1763_9882725","",""
"101-lm_T","1763_9882726","",""
"101-lm_T","1763_9882729","",""
"101-lm_T","1763_9882731","",""
"101-lm_T","1763_9882736","",""
"14-TCRD_T","1763_11074377","",""
"14-TCRD_T","1763_11074393","",""
"14-TCRD_T","1763_11074438","",""
"14-TCRD_T","1763_11074528","",""
"14-TCRD_T","1763_11111156","",""
"14-TCRD_T","1763_11111180","",""
"14-TCRD_T","1763_11111193","",""
"14-TCRD_T","1763_11111376","",""
"14-TCRD_T","1763_11111432","",""
"14-TCRD_T","1763_11111449","",""
"14-TCRD_T","1763_11111486","",""
"14-TCRD_T","1763_11111499","",""
"14-TCRD_T","1763_11111542","",""
"14-TCRD_T","1763_11111670","",""
"14-TCRD_T","1763_11111698","",""
"14-TCRD_T","1763_11111719","",""
"14-TCRD_T","1763_11111761","",""
"14-TCRD_T","1763_11111771","",""
"14-TCRD_T","1763_11112244","",""
"14-TCRD_T","1763_11112256","",""
"14-TCRD_T","1763_11112266","",""
"14-TCRD_T","1763_11112460","",""
"14-TCRD_T","1763_11112485","",""
"14-TCRD_T","1763_11112527","",""
"14-TCRD_T","1763_11112531","",""
"14-TCRD_T","1763_11112533","",""
"141-pc_T","1763_9809805","",""
"141-pd_T","1763_9755909","",""
"141-pd_T","1763_9755910","",""
"145-pc_T","1763_9809830","",""
"145-pd_T","1763_9810128","",""
"147-p0_T","1763_9810135","",""
"147-p0_T","1763_9810141","",""
"147-p0_T","1763_9867374","",""
"147-p0_T","1763_9867375","",""
"147-p0_T","1763_9867376","",""
"147-p0_T","1763_9867377","",""
"147-p0_T","1763_9867378","",""
"147-p0_T","1763_9867379","",""
"147-p0_T","1763_9867382","",""
"147-p0_T","1763_9867383","",""
"147-p0_T","1763_9908593","",""
"147-p0_T","1763_9908594","",""
"147-p0_T","1763_9908595","",""
"147-p0_T","1763_9908644","",""
"147-p0_T","1763_9908645","",""
"147-p0_T","1763_9908646","",""
"147-p0_T","1763_9908647","",""
"147-p0_T","1763_9908648","",""
"147-p0_T","1763_9908649","",""
"147-p0_T","1763_9908650","",""
"147-p0_T","1763_9908651","",""
"147-p0_T","1763_9908653","",""
"147-p0_T","1763_9908654","",""
"147-p0_T","1763_9908655","",""
"147-p5_T","1763_9867328","",""
"147-p5_T","1763_9867329","",""
"147-p5_T","1763_9867380","",""
"147-p5_T","1763_9867381","",""
"147-p5_T","1763_9908592","",""
"147-p5_T","1763_9908652","",""
"207-a_T","1763_9888028","",""
"213-a_T","1763_11288494","",""
"213-b_T","1763_11288492","",""
"243-h_T","1763_11288498","",""
"243-h_T","1763_11695286","",""
"247-lm_T","1763_11100769","",""
"247-lm_T","1763_11113550","",""
"247-lm_T","1763_9755119","",""
"353-g_T","1763_10558224","",""
"353-nd_T","1763_10558225","",""
"353-nd_T","1763_10558226","",""
"353-nd_T","1763_10558227","",""
"356-9_T","1763_10668922","",""
"356-CPF_T","1763_10668936","",""
"356-CPF_T","1763_10668949","",""
"356-n1_T","1763_10668910","",""
"356-n1_T","1763_10668911","",""
"356-n1_T","1763_10668916","",""
"356-n1_T","1763_10668917","",""
"356-n2_T","1763_10668912","",""
"356-n2_T","1763_10668913","",""
"356-n2_T","1763_10668914","",""
"356-n2_T","1763_10668915","",""
"356-n2_T","1763_10668918","",""
"356-n2_T","1763_10668919","",""
"356-n2_T","1763_10668920","",""
"356-n2_T","1763_10668921","",""
"356-nd_T","1763_10668937","",""
